# Frases del curso HSK1 · base de los ejercicios de TRADUCCIÓN y de DICTADO
#
# Formato de cada tema:
#   # número | título en chino | título en español
# Formato de cada frase (separadores " | "):
#   hanzi | pinyin | español [ / otra traducción válida / … ] [| opciones]
# Opciones (opcionales, separadas por espacios en la última columna):
#   tts=texto     texto que se envía a la voz si el hanzi lleva cifras que se
#                 leerían mal (teléfonos, años)
#   py=otro       otro pinyin válido (para "español → pinyin")
#   zh=otro       otro hanzi válido (para "español → hanzi")

# 1 | 你好 | Saludos y disculpas
你好！ | Nǐ hǎo! | Hola.
您好！ | Nín hǎo! | Hola (formal). / Buenos días (formal).
你们好！ | Nǐmen hǎo! | Hola a todos. / Hola a vosotros.
对不起！ | Duìbuqǐ! | Lo siento. / Perdón.
没关系！ | Méi guānxi! | No pasa nada. / No importa.

# 2 | 谢谢你 | Gracias y despedidas
谢谢！ | Xièxie! | Gracias.
不谢！ | Bú xiè! | De nada.
谢谢你！ | Xièxie nǐ! | Gracias (a ti). / Te doy las gracias.
不客气！ | Bú kèqi! | De nada. / No hay de qué.
再见！ | Zàijiàn! | Adiós. / Hasta luego.

# 3 | 你叫什么名字 | Nombre y nacionalidad
你叫什么名字？ | Nǐ jiào shénme míngzi? | ¿Cómo te llamas? / ¿Cuál es tu nombre?
我叫李月。 | Wǒ jiào Lǐ Yuè. | Me llamo Li Yue.
你是老师吗？ | Nǐ shì lǎoshī ma? | ¿Eres profesor? / ¿Eres profesora?
我不是老师，我是学生。 | Wǒ bú shì lǎoshī, wǒ shì xuésheng. | No soy profesor, soy estudiante. / No soy profesora, soy estudiante.
你是中国人吗？ | Nǐ shì Zhōngguó rén ma? | ¿Eres chino? / ¿Eres china?
我不是中国人，我是美国人。 | Wǒ bú shì Zhōngguó rén, wǒ shì Měiguó rén. | No soy chino, soy estadounidense. / No soy china, soy estadounidense.
我叫李月，我是中国人，我是老师。 | Wǒ jiào Lǐ Yuè, wǒ shì Zhōngguó rén, wǒ shì lǎoshī. | Me llamo Li Yue, soy china y soy profesora.
我叫大卫，我是美国人，我是学生。 | Wǒ jiào Dàwèi, wǒ shì Měiguó rén, wǒ shì xuésheng. | Me llamo David, soy estadounidense y soy estudiante.
我叫李心。 | Wǒ jiào Lǐ Xīn. | Me llamo Li Xin.
您是老师吗？ | Nín shì lǎoshī ma? | ¿Es usted profesor? / ¿Es usted profesora?
是，我是老师。 | Shì, wǒ shì lǎoshī. | Sí, soy profesor. / Sí, soy profesora.
你好，我叫大卫。 | Nǐ hǎo, wǒ jiào Dàwèi. | Hola, me llamo David.
你是美国人吗？ | Nǐ shì Měiguó rén ma? | ¿Eres estadounidense?
不是，我是中国人。 | Bú shì, wǒ shì Zhōngguó rén. | No, soy chino. / No, soy china.
你是学生吗？ | Nǐ shì xuésheng ma? | ¿Eres estudiante?
我不是学生，我是老师。 | Wǒ bú shì xuésheng, wǒ shì lǎoshī. | No soy estudiante, soy profesor. / No soy estudiante, soy profesora.

